description,image,name,location,price,star
"Nằm cách Bãi biển Nha Trang 100 m, Star Beach Panorama có chỗ nghỉ, nhà hàng, hồ bơi ngoài trời, trung tâm thể dục và quầy bar. Chỗ nghỉ này cung cấp WiFi miễn phí và chỗ đỗ xe riêng trong khuôn viên....",https://cf.bstatic.com/xdata/images/hotel/square200/256686021.jpg?k=d79ba0dd80ddf983e15797a8e81a3c1b6fbeb23f69283761b591754f77e0df37&o=,Star Beach Panorama,Nha Trang,"835,267",4
"Tọa lạc tại thành phố Nha Trang, Vinpearl Discovery 2 Nha Trang cung cấp chỗ nghỉ bên bờ biển, cách Dinh Bảo Đại 50 m, và có nhiều tiện nghi như hồ bơi ngoài trời, khu vườn và quầy bar. ",https://cf.bstatic.com/xdata/images/hotel/square200/169950904.jpg?k=5154f6026fbb49c239bba6574905564870249344ec9a499a9e10fe7a046643e7&o=,Vinpearl Discovery 2 Nha Trang,Khánh Hòa ,"454,112",4
"Nằm ở thành phố Nha Trang, cách Bãi đá Hòn Chồng 200 m, Mega Light Hotel Managed By VNServices cung cấp chỗ nghỉ bên bờ biển cùng nhiều tiện nghi như nhà hàng, hồ bơi ngoài trời và sảnh khách chung. ",https://cf.bstatic.com/xdata/images/hotel/square200/278024839.jpg?k=b5c09bc3688284861a7edaf4a7487d3a8aca9bcca2514e1a31329a8018602332&o=,Mega Light Hotel Managed By RHM GROUP,Nha Trang,"747,067",2
"Nằm cách Bãi biển Nha Trang 2,1 km, Venity Villa Nha Trang có hồ bơi ngoài trời, quán bar cùng chỗ nghỉ lắp máy điều hòa đi kèm sân trong và WiFi miễn phí. ",https://cf.bstatic.com/xdata/images/hotel/square200/175869803.jpg?k=12504166ac28988003b5b18b989200880952614890e732760fd56e3afd213d8a&o=,Venity Villa Nha Trang,Khánh Hòa ,"507,304",1
"Tọa lạc tại thành phố Nha Trang, cách Bãi biển Nha Trang 400 m và Trung tâm Thuyền buồm Việt Nam 400 m, Rubies Nha Trang Apartment cung cấp chỗ nghỉ với WiFi miễn phí, máy điều hòa, nhà hàng và sòng...",https://cf.bstatic.com/xdata/images/hotel/square200/234953550.jpg?k=83b5b9708a0cb03f6a61cb1abd29bdb60514da9eb3e70d80e69e7642572b4c39&o=,Rubies Nha Trang Apartment,Nha Trang,"725,888",4
"Đứng sừng sững trên con phố chính của thành phố Nha Trang, Hotel Novotel Nha Trang cung cấp các phòng nghỉ hiện đại với tầm nhìn bao quát ra cảnh biển. ",https://cf.bstatic.com/xdata/images/hotel/square200/252001306.jpg?k=b2922b6aa158ef3f11c4ced1d5bd76ae0ea313a35d1873bf87e254ac82a78b47&o=,Hotel Novotel Nha Trang,Khánh Hòa ,"419,190",3
"Tọa lạc tại thành phố Nha Trang, BOSS Hotel managed by NEST Group có nhà hàng, hồ bơi ngoài trời, trung tâm thể dục và quầy bar. Khách sạn này còn có phòng gia đình và sân hiên. ",https://cf.bstatic.com/xdata/images/hotel/square200/262796652.jpg?k=5ecb35df162612c3cfb00d5e922524ef5bb96f9dae3d09dbf54d41b259cdd9fc&o=,BOSS Hotel managed by NEST Group,Nha Trang,"746,488",3
"Tọa lạc tại thành phố Nha Trang, cách Bãi biển Nha Trang 600 m, DTX Hotel Nha Trang cung cấp chỗ nghỉ với nhà hàng, chỗ đỗ xe riêng miễn phí, hồ bơi ngoài trời và trung tâm thể dục. ",https://cf.bstatic.com/xdata/images/hotel/square200/195744739.jpg?k=b1b02ff02b9e39b76d0bb575d7d04086d5c7c3259906541e941faf8ba8635225&o=,DTX Hotel Nha Trang,Khánh Hòa ,"759,557",3
"Tọa lạc tại thành phố Nha Trang, cách Bãi biển Nha Trang 500 m, Le More Hotel cung cấp chỗ nghỉ với nhà hàng, chỗ đỗ xe riêng miễn phí, trung tâm thể dục và quán bar. ",https://cf.bstatic.com/xdata/images/hotel/square200/274117176.jpg?k=07bf1fe60e989500da05a78e6572d7ede302ef1f786ea032a85f6128f090ae34&o=,Le More Hotel,Nha Trang,"537,251",4
"Đặc trưng với phong cách thuộc địa, Sunrise Nha Trang Beach Hotel &amp; Spa có khu vực bãi biển riêng với ghế tắm nắng trên bờ biển Nha Trang. ",https://cf.bstatic.com/xdata/images/hotel/square200/239864350.jpg?k=883d55ecdcb0caa91b56c796dd884ad057c0a1b657175d277300bd971b898458&o=,Sunrise Nha Trang Beach Hotel &amp; Spa,Khánh Hòa ,"775,796",1
"Cách Bãi biển Nha Trang khoảng 1,9 km, The Trang Villa có tầm nhìn ra hồ, chỗ nghỉ, hồ bơi ngoài trời, phòng khách chung và vườn. Được xây vào năm 2019, chỗ nghỉ này còn có máy điều hòa và sân trong....",https://cf.bstatic.com/xdata/images/hotel/square200/236014977.jpg?k=606ce558ecd36e9cca7289fbbc3086d36328e49a8870264facb992b27c710c7e&o=,The Trang Luxury Villa Nha Trang,Nha Trang,"353,488",3
"Nằm cách Bãi biển Nha Trang 200 m, Holi Panorama Nha Trang có chỗ nghỉ, nhà hàng, hồ bơi ngoài trời, trung tâm thể dục và quán bar. Chỗ nghỉ này cung cấp WiFi miễn phí. ",https://cf.bstatic.com/xdata/images/hotel/square200/235507147.jpg?k=3f7ed06f5d42b96bab0f82f12a386d555ffec901136a13c3d28080a1e18642fe&o=,Holi Panorama Nha Trang,Khánh Hòa ,"623,311",3
"Nằm trên Đường Bờ biển Trần Phú, The Costa Residence chào đón du khách với 2 hồ bơi ngoài trời, trong đó có 1 hồ bơi vô cực, trung tâm thể dục và các phòng nghỉ được bài trí sang trọng với cửa sổ lớn....",https://cf.bstatic.com/xdata/images/hotel/square200/278584293.jpg?k=9c05ce7b7ae9db495c1a91d9fa7d77674a0b52f3433c3a2823985f7c35fb5b8b&o=,The Costa Nha Trang Residences,Nha Trang,"470,524",4
"Queen Ann Nha Trang Hotel cung cấp chỗ nghỉ tại thành phố Nha Trang, cách Trung tâm thuyền buồm Việt Nam 800 m. Khách sạn này có Wi-Fi miễn phí trong toàn khuôn viên và hồ bơi ngoài trời. ",https://cf.bstatic.com/xdata/images/hotel/square200/271089318.jpg?k=77e81c1ccc5b40a7ba4f74b241acf1dde29c93ff11dcf6a30fc0642cf3210e3f&o=,Queen Ann Nha Trang Hotel,Khánh Hòa ,"509,468",3
"Tọa lạc tại thành phố Nha Trang, cách Bãi biển Nha Trang 100 m, Imperial Nha Trang có nhà hàng, chỗ đỗ xe riêng miễn phí, hồ bơi ngoài trời và trung tâm thể dục. ",https://cf.bstatic.com/xdata/images/hotel/square200/277879380.jpg?k=d19e9742e2e3cee05844579de49268e217ef2de65748c8e11c179feabec87331&o=,Imperial Nha Trang,Nha Trang,"454,115",5
"Tọa lạc ở vị trí trung tâm trên Đường Trần Phú, Sheraton Nha Trang có 6 lựa chọn ăn uống, hồ bơi vô cực ngoài trời trên tầng 6 và trường dạy nấu ăn đầu tiên của Việt Nam. ",https://cf.bstatic.com/xdata/images/hotel/square200/253748228.jpg?k=faf02d98c69709606a3f345c3dc9e80909f39daf6ac7de48666123251fcf1351&o=,Sheraton Nha Trang,Khánh Hòa ,"584,455",1
"Tọa lạc tại thành phố Nha Trang, cách Bãi đá Hòn Chồng 1,6 km, Muong Thanh Luxury Khanh Hoa cung cấp chỗ nghỉ với nhà hàng, chỗ đỗ xe riêng miễn phí, trung tâm thể dục và quán bar. ",https://cf.bstatic.com/xdata/images/hotel/square200/183188000.jpg?k=5841b14e45023845e16b4b029e0a9d0b2b5ddfeabf69edcb52de01e806648e9d&o=,Muong Thanh Luxury Khanh Hoa,Nha Trang,"672,136",5
"Maple Hotel &amp; Apartment cung cấp các phòng kiểu dáng đẹp ở thành phố Nha Trang, cách Quảng trường 2&#47;4 và Tháp Trầm Hương khoảng 2 phút đi bộ. ",https://cf.bstatic.com/xdata/images/hotel/square200/190045506.jpg?k=3011d1fd144e9eaac779eab5061bc84a038dbfd93e8b03eebc9d4ee365f1750d&o=,Maple Hotel &amp; Apartment,Khánh Hòa ,"375,024",3
"Thành viên mới nhất trong gia đình InterContinental ở Việt Nam là InterContinental Nha Trang, tọa lạc trên Đường Trần Phú nổi tiếng của thành phố Nha Trang. ",https://cf.bstatic.com/xdata/images/hotel/square200/28038759.jpg?k=e713c05e5020e92f1ae294d7d95760d86b20629da29578cefc6770ca1660976e&o=,InterContinental Nha Trang,Nha Trang,"827,687",4
"Muong Thanh Nha Trang Centre Hotel chiếm vị trí trung tâm ở thành phố Nha Trang, cách Bãi biển Nha Trang chỉ 200 m. Khách sạn có hồ bơi ngoài trời và trung tâm thể dục hiện đại. ",https://cf.bstatic.com/xdata/images/hotel/square200/40510723.jpg?k=7c44ca8624b5270d9f865324aef8ebb5d1345f8bf468d5f0a455d55736b63153&o=,Muong Thanh Luxury Nha Trang Hotel,Khánh Hòa ,"338,718",3
"Tọa lạc tại thành phố Nha Trang, cách Bãi biển Nha Trang chưa đầy 1 km, Alpha Bird Nha Trang Managed By RHM GROUP cung cấp chỗ nghỉ với nhà hàng, chỗ đỗ xe riêng miễn phí, hồ bơi ngoài trời và quầy...",https://cf.bstatic.com/xdata/images/hotel/square200/278536254.jpg?k=7fd8c82099d119a392564e921b1593179f204f3cb827e7b04480c731174a2f90&o=,Alpha Bird Nha Trang Managed By RHM GROUP,Nha Trang,"888,784",4
"Nằm trên một vịnh hẻo lánh, Amiana Resort Nha Trang có khu vực bãi biển riêng và tầm nhìn ra cảnh biển Nha Trang. ",https://cf.bstatic.com/xdata/images/hotel/square200/173068692.jpg?k=3156c54f2b8da5ca43eddcc88ff3271f097de58bff042a8b0aaa5f3ea7bca626&o=,Amiana Resort and Villas Nha Trang,Khánh Hòa ,"838,759",1
"Boton Blue Hotel &amp; Spa là chỗ nghỉ bên bờ biển ở thành phố Nha Trang và có hồ bơi ngoài trời, nhà hàng, phòng tập thể dục cũng như xe đưa đón miễn phí đến trung tâm thành phố. ",https://cf.bstatic.com/xdata/images/hotel/square200/144068893.jpg?k=c3cd65f81d48a6b63e56e970d8d43024512f965289ab70c0c03fa62651e9da33&o=,Boton Blue Hotel &amp; Spa,Nha Trang,"624,866",4
"Tọa lạc trên đảo Hòn Tre đẹp như tranh vẽ, Vinpearl Discovery 1 Nha Trang cung cấp chỗ nghỉ theo phong cách thời Victoria sang trọng và có khu vực bãi biển riêng với các tiện nghi thể thao dưới nước. ",https://cf.bstatic.com/xdata/images/hotel/square200/64588923.jpg?k=2e9daf210b6eb2072aa3da7a83c979c53b253477b54c3719332e4bd7adc0750d&o=,Vinpearl Discovery 1 Nha Trang,Khánh Hòa ,"426,295",3
Mia Resort Nha Trang 5 sao này cung cấp các buổi tập yoga miễn phí trên bãi biển vào Chủ Nhật và dịch vụ xe điện đưa đón xung quanh chỗ nghỉ. ,https://cf.bstatic.com/xdata/images/hotel/square200/173538974.jpg?k=46c49d4fef879e6b40f8ecf69dce8e69267e3b43006d2d715e0c1c33b6b8ed67&o=,Mia Resort Nha Trang,Nha Trang,"743,128",5
"Nằm cách Bãi biển Nha Trang 100 m, Star Beach Panorama có chỗ nghỉ, nhà hàng, hồ bơi ngoài trời, trung tâm thể dục và quầy bar. Chỗ nghỉ này cung cấp WiFi miễn phí và chỗ đỗ xe riêng trong khuôn viên....",https://cf.bstatic.com/xdata/images/hotel/square200/256686021.jpg?k=d79ba0dd80ddf983e15797a8e81a3c1b6fbeb23f69283761b591754f77e0df37&o=,Star Beach Panorama,Khánh Hòa ,"440,796",5
"Tọa lạc tại thành phố Nha Trang, Vinpearl Discovery 2 Nha Trang cung cấp chỗ nghỉ bên bờ biển, cách Dinh Bảo Đại 50 m, và có nhiều tiện nghi như hồ bơi ngoài trời, khu vườn và quầy bar. ",https://cf.bstatic.com/xdata/images/hotel/square200/169950904.jpg?k=5154f6026fbb49c239bba6574905564870249344ec9a499a9e10fe7a046643e7&o=,Vinpearl Discovery 2 Nha Trang,Nha Trang,"431,004",2
"Nằm ở thành phố Nha Trang, cách Bãi đá Hòn Chồng 200 m, Mega Light Hotel Managed By VNServices cung cấp chỗ nghỉ bên bờ biển cùng nhiều tiện nghi như nhà hàng, hồ bơi ngoài trời và sảnh khách chung. ",https://cf.bstatic.com/xdata/images/hotel/square200/278024839.jpg?k=b5c09bc3688284861a7edaf4a7487d3a8aca9bcca2514e1a31329a8018602332&o=,Mega Light Hotel Managed By RHM GROUP,Khánh Hòa ,"690,126",5
"Nằm cách Bãi biển Nha Trang 2,1 km, Venity Villa Nha Trang có hồ bơi ngoài trời, quán bar cùng chỗ nghỉ lắp máy điều hòa đi kèm sân trong và WiFi miễn phí. ",https://cf.bstatic.com/xdata/images/hotel/square200/175869803.jpg?k=12504166ac28988003b5b18b989200880952614890e732760fd56e3afd213d8a&o=,Venity Villa Nha Trang,Nha Trang,"572,260",3
"Tọa lạc tại thành phố Nha Trang, cách Bãi biển Nha Trang 400 m và Trung tâm Thuyền buồm Việt Nam 400 m, Rubies Nha Trang Apartment cung cấp chỗ nghỉ với WiFi miễn phí, máy điều hòa, nhà hàng và sòng...",https://cf.bstatic.com/xdata/images/hotel/square200/234953550.jpg?k=83b5b9708a0cb03f6a61cb1abd29bdb60514da9eb3e70d80e69e7642572b4c39&o=,Rubies Nha Trang Apartment,Khánh Hòa ,"557,607",2
"Đứng sừng sững trên con phố chính của thành phố Nha Trang, Hotel Novotel Nha Trang cung cấp các phòng nghỉ hiện đại với tầm nhìn bao quát ra cảnh biển. ",https://cf.bstatic.com/xdata/images/hotel/square200/252001306.jpg?k=b2922b6aa158ef3f11c4ced1d5bd76ae0ea313a35d1873bf87e254ac82a78b47&o=,Hotel Novotel Nha Trang,Nha Trang,"431,144",4
"Tọa lạc tại thành phố Nha Trang, BOSS Hotel managed by NEST Group có nhà hàng, hồ bơi ngoài trời, trung tâm thể dục và quầy bar. Khách sạn này còn có phòng gia đình và sân hiên. ",https://cf.bstatic.com/xdata/images/hotel/square200/262796652.jpg?k=5ecb35df162612c3cfb00d5e922524ef5bb96f9dae3d09dbf54d41b259cdd9fc&o=,BOSS Hotel managed by NEST Group,Khánh Hòa ,"360,390",5
"Tọa lạc tại thành phố Nha Trang, cách Bãi biển Nha Trang 600 m, DTX Hotel Nha Trang cung cấp chỗ nghỉ với nhà hàng, chỗ đỗ xe riêng miễn phí, hồ bơi ngoài trời và trung tâm thể dục. ",https://cf.bstatic.com/xdata/images/hotel/square200/195744739.jpg?k=b1b02ff02b9e39b76d0bb575d7d04086d5c7c3259906541e941faf8ba8635225&o=,DTX Hotel Nha Trang,Nha Trang,"616,044",1
"Tọa lạc tại thành phố Nha Trang, cách Bãi biển Nha Trang 500 m, Le More Hotel cung cấp chỗ nghỉ với nhà hàng, chỗ đỗ xe riêng miễn phí, trung tâm thể dục và quán bar. ",https://cf.bstatic.com/xdata/images/hotel/square200/274117176.jpg?k=07bf1fe60e989500da05a78e6572d7ede302ef1f786ea032a85f6128f090ae34&o=,Le More Hotel,Khánh Hòa ,"660,907",2
"Đặc trưng với phong cách thuộc địa, Sunrise Nha Trang Beach Hotel &amp; Spa có khu vực bãi biển riêng với ghế tắm nắng trên bờ biển Nha Trang. ",https://cf.bstatic.com/xdata/images/hotel/square200/239864350.jpg?k=883d55ecdcb0caa91b56c796dd884ad057c0a1b657175d277300bd971b898458&o=,Sunrise Nha Trang Beach Hotel &amp; Spa,Nha Trang,"363,408",1
"Cách Bãi biển Nha Trang khoảng 1,9 km, The Trang Villa có tầm nhìn ra hồ, chỗ nghỉ, hồ bơi ngoài trời, phòng khách chung và vườn. Được xây vào năm 2019, chỗ nghỉ này còn có máy điều hòa và sân trong....",https://cf.bstatic.com/xdata/images/hotel/square200/236014977.jpg?k=606ce558ecd36e9cca7289fbbc3086d36328e49a8870264facb992b27c710c7e&o=,The Trang Luxury Villa Nha Trang,Khánh Hòa ,"723,248",3
"Nằm cách Bãi biển Nha Trang 200 m, Holi Panorama Nha Trang có chỗ nghỉ, nhà hàng, hồ bơi ngoài trời, trung tâm thể dục và quán bar. Chỗ nghỉ này cung cấp WiFi miễn phí. ",https://cf.bstatic.com/xdata/images/hotel/square200/235507147.jpg?k=3f7ed06f5d42b96bab0f82f12a386d555ffec901136a13c3d28080a1e18642fe&o=,Holi Panorama Nha Trang,Nha Trang,"645,726",1
"Nằm trên Đường Bờ biển Trần Phú, The Costa Residence chào đón du khách với 2 hồ bơi ngoài trời, trong đó có 1 hồ bơi vô cực, trung tâm thể dục và các phòng nghỉ được bài trí sang trọng với cửa sổ lớn....",https://cf.bstatic.com/xdata/images/hotel/square200/278584293.jpg?k=9c05ce7b7ae9db495c1a91d9fa7d77674a0b52f3433c3a2823985f7c35fb5b8b&o=,The Costa Nha Trang Residences,Khánh Hòa ,"896,294",4
"Queen Ann Nha Trang Hotel cung cấp chỗ nghỉ tại thành phố Nha Trang, cách Trung tâm thuyền buồm Việt Nam 800 m. Khách sạn này có Wi-Fi miễn phí trong toàn khuôn viên và hồ bơi ngoài trời. ",https://cf.bstatic.com/xdata/images/hotel/square200/271089318.jpg?k=77e81c1ccc5b40a7ba4f74b241acf1dde29c93ff11dcf6a30fc0642cf3210e3f&o=,Queen Ann Nha Trang Hotel,Nha Trang,"686,033",2
"Tọa lạc tại thành phố Nha Trang, cách Bãi biển Nha Trang 100 m, Imperial Nha Trang có nhà hàng, chỗ đỗ xe riêng miễn phí, hồ bơi ngoài trời và trung tâm thể dục. ",https://cf.bstatic.com/xdata/images/hotel/square200/277879380.jpg?k=d19e9742e2e3cee05844579de49268e217ef2de65748c8e11c179feabec87331&o=,Imperial Nha Trang,Khánh Hòa ,"420,879",3
"Tọa lạc ở vị trí trung tâm trên Đường Trần Phú, Sheraton Nha Trang có 6 lựa chọn ăn uống, hồ bơi vô cực ngoài trời trên tầng 6 và trường dạy nấu ăn đầu tiên của Việt Nam. ",https://cf.bstatic.com/xdata/images/hotel/square200/253748228.jpg?k=faf02d98c69709606a3f345c3dc9e80909f39daf6ac7de48666123251fcf1351&o=,Sheraton Nha Trang,Nha Trang,"424,734",4
"Tọa lạc tại thành phố Nha Trang, cách Bãi đá Hòn Chồng 1,6 km, Muong Thanh Luxury Khanh Hoa cung cấp chỗ nghỉ với nhà hàng, chỗ đỗ xe riêng miễn phí, trung tâm thể dục và quán bar. ",https://cf.bstatic.com/xdata/images/hotel/square200/183188000.jpg?k=5841b14e45023845e16b4b029e0a9d0b2b5ddfeabf69edcb52de01e806648e9d&o=,Muong Thanh Luxury Khanh Hoa,Khánh Hòa ,"717,726",2
"Maple Hotel &amp; Apartment cung cấp các phòng kiểu dáng đẹp ở thành phố Nha Trang, cách Quảng trường 2&#47;4 và Tháp Trầm Hương khoảng 2 phút đi bộ. ",https://cf.bstatic.com/xdata/images/hotel/square200/190045506.jpg?k=3011d1fd144e9eaac779eab5061bc84a038dbfd93e8b03eebc9d4ee365f1750d&o=,Maple Hotel &amp; Apartment,Nha Trang,"400,683",1
"Thành viên mới nhất trong gia đình InterContinental ở Việt Nam là InterContinental Nha Trang, tọa lạc trên Đường Trần Phú nổi tiếng của thành phố Nha Trang. ",https://cf.bstatic.com/xdata/images/hotel/square200/28038759.jpg?k=e713c05e5020e92f1ae294d7d95760d86b20629da29578cefc6770ca1660976e&o=,InterContinental Nha Trang,Khánh Hòa ,"619,886",1
"Muong Thanh Nha Trang Centre Hotel chiếm vị trí trung tâm ở thành phố Nha Trang, cách Bãi biển Nha Trang chỉ 200 m. Khách sạn có hồ bơi ngoài trời và trung tâm thể dục hiện đại. ",https://cf.bstatic.com/xdata/images/hotel/square200/40510723.jpg?k=7c44ca8624b5270d9f865324aef8ebb5d1345f8bf468d5f0a455d55736b63153&o=,Muong Thanh Luxury Nha Trang Hotel,Nha Trang,"447,559",5
"Tọa lạc tại thành phố Nha Trang, cách Bãi biển Nha Trang chưa đầy 1 km, Alpha Bird Nha Trang Managed By RHM GROUP cung cấp chỗ nghỉ với nhà hàng, chỗ đỗ xe riêng miễn phí, hồ bơi ngoài trời và quầy...",https://cf.bstatic.com/xdata/images/hotel/square200/278536254.jpg?k=7fd8c82099d119a392564e921b1593179f204f3cb827e7b04480c731174a2f90&o=,Alpha Bird Nha Trang Managed By RHM GROUP,Khánh Hòa ,"484,178",5
"Nằm trên một vịnh hẻo lánh, Amiana Resort Nha Trang có khu vực bãi biển riêng và tầm nhìn ra cảnh biển Nha Trang. ",https://cf.bstatic.com/xdata/images/hotel/square200/173068692.jpg?k=3156c54f2b8da5ca43eddcc88ff3271f097de58bff042a8b0aaa5f3ea7bca626&o=,Amiana Resort and Villas Nha Trang,Nha Trang,"462,595",3
"Boton Blue Hotel &amp; Spa là chỗ nghỉ bên bờ biển ở thành phố Nha Trang và có hồ bơi ngoài trời, nhà hàng, phòng tập thể dục cũng như xe đưa đón miễn phí đến trung tâm thành phố. ",https://cf.bstatic.com/xdata/images/hotel/square200/144068893.jpg?k=c3cd65f81d48a6b63e56e970d8d43024512f965289ab70c0c03fa62651e9da33&o=,Boton Blue Hotel &amp; Spa,Khánh Hòa ,"546,497",2
"Tọa lạc trên đảo Hòn Tre đẹp như tranh vẽ, Vinpearl Discovery 1 Nha Trang cung cấp chỗ nghỉ theo phong cách thời Victoria sang trọng và có khu vực bãi biển riêng với các tiện nghi thể thao dưới nước. ",https://cf.bstatic.com/xdata/images/hotel/square200/64588923.jpg?k=2e9daf210b6eb2072aa3da7a83c979c53b253477b54c3719332e4bd7adc0750d&o=,Vinpearl Discovery 1 Nha Trang,Nha Trang,"622,060",3
Mia Resort Nha Trang 5 sao này cung cấp các buổi tập yoga miễn phí trên bãi biển vào Chủ Nhật và dịch vụ xe điện đưa đón xung quanh chỗ nghỉ. ,https://cf.bstatic.com/xdata/images/hotel/square200/173538974.jpg?k=46c49d4fef879e6b40f8ecf69dce8e69267e3b43006d2d715e0c1c33b6b8ed67&o=,Mia Resort Nha Trang,Khánh Hòa ,"441,446",1
"Nằm cách Bãi biển Nha Trang 100 m, Star Beach Panorama có chỗ nghỉ, nhà hàng, hồ bơi ngoài trời, trung tâm thể dục và quầy bar. Chỗ nghỉ này cung cấp WiFi miễn phí và chỗ đỗ xe riêng trong khuôn viên....",https://cf.bstatic.com/xdata/images/hotel/square200/256686021.jpg?k=d79ba0dd80ddf983e15797a8e81a3c1b6fbeb23f69283761b591754f77e0df37&o=,Star Beach Panorama,Nha Trang,"372,209",5
"Tọa lạc tại thành phố Nha Trang, Vinpearl Discovery 2 Nha Trang cung cấp chỗ nghỉ bên bờ biển, cách Dinh Bảo Đại 50 m, và có nhiều tiện nghi như hồ bơi ngoài trời, khu vườn và quầy bar. ",https://cf.bstatic.com/xdata/images/hotel/square200/169950904.jpg?k=5154f6026fbb49c239bba6574905564870249344ec9a499a9e10fe7a046643e7&o=,Vinpearl Discovery 2 Nha Trang,Khánh Hòa ,"413,315",1
"Nằm ở thành phố Nha Trang, cách Bãi đá Hòn Chồng 200 m, Mega Light Hotel Managed By VNServices cung cấp chỗ nghỉ bên bờ biển cùng nhiều tiện nghi như nhà hàng, hồ bơi ngoài trời và sảnh khách chung. ",https://cf.bstatic.com/xdata/images/hotel/square200/278024839.jpg?k=b5c09bc3688284861a7edaf4a7487d3a8aca9bcca2514e1a31329a8018602332&o=,Mega Light Hotel Managed By RHM GROUP,Nha Trang,"353,411",1
